ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level
AFG,Afghanistan,total,Drinking water,2017,18.88395,6709484.139,Unimproved
AGO,Angola,total,Drinking water,2017,18.79514,5597981.404,Unimproved
AIA,Anguilla,total,Drinking water,2017,2.51773,375.36773,Unimproved
ALB,Albania,total,Drinking water,2017,3.83557,112389.3027,Unimproved
AND,Andorra,total,Drinking water,2017,0,0.00286,Unimproved
ARE,United Arab Emirates,total,Drinking water,2017,0.04674,4394.03105,Unimproved
ARM,Armenia,total,Drinking water,2017,0.08662,2538.45727,Unimproved
ASM,American Samoa,total,Drinking water,2017,0.22623,125.87571,Unimproved
ATG,Antigua and Barbuda,total,Drinking water,2017,3.16635,3230.05452,Unimproved
AUS,Australia,total,Drinking water,2017,0.03006,7350.91497,Unimproved
AUT,Austria,total,Drinking water,2017,0,0,Unimproved
AZE,Azerbaijan,total,Drinking water,2017,4.89789,481344.1796,Unimproved
BDI,Burundi,total,Drinking water,2017,14.87985,1616583.267,Unimproved
BEL,Belgium,total,Drinking water,2017,0,0,Unimproved
BEN,Benin,total,Drinking water,2017,19.80398,2213232.323,Unimproved
BFA,Burkina Faso,total,Drinking water,2017,23.0681,4427548.853,Unimproved
BGD,Bangladesh,total,Drinking water,2017,0.50779,836182.3622,Unimproved
BGR,Bulgaria,total,Drinking water,2017,0.89166,63170.08565,Unimproved
BHR,Bahrain,total,Drinking water,2017,0,0,Unimproved
BHS,Bahamas,total,Drinking water,2017,1.11304,4400.52411,Unimproved
BIH,Bosnia and Herzegovina,total,Drinking water,2017,0.06098,2138.62409,Unimproved
BLR,Belarus,total,Drinking water,2017,0.18597,17608.07561,Unimproved
BLZ,Belize,total,Drinking water,2017,0.7647,2865.20267,Unimproved
BMU,Bermuda,total,Drinking water,2017,0.09686,59.42263,Unimproved
BOL,Bolivia (Plurinational State of),total,Drinking water,2017,1.59564,176343.3748,Unimproved
BRA,Brazil,total,Drinking water,2017,1.55431,3252983.236,Unimproved
BRB,Barbados,total,Drinking water,2017,1.23801,3537.21887,Unimproved
BRN,Brunei Darussalam,total,Drinking water,2017,0.09999,428.65803,Unimproved
BTN,Bhutan,total,Drinking water,2017,0.24096,1946.01067,Unimproved
BWA,Botswana,total,Drinking water,2017,1.5828,36272.52346,Unimproved
CAN,Canada,total,Drinking water,2017,0.56376,206471.0939,Unimproved
CHE,Switzerland,total,Drinking water,2017,0,0,Unimproved
CHI,Channel Islands,total,Drinking water,2017,5.85,9670.869,Unimproved
CHL,Chile,total,Drinking water,2017,0.16721,30189.09098,Unimproved
CHN,China,total,Drinking water,2017,5.88973,84408230.92,Unimproved
CIV,Côte d’Ivoire,total,Drinking water,2017,15.08376,3664562.148,Unimproved
CMR,Cameroon,total,Drinking water,2017,16.13126,3880168.739,Unimproved
COD,Democratic Republic of the Congo,total,Drinking water,2017,35.59827,28955627.22,Unimproved
COG,Congo,total,Drinking water,2017,9.85903,518659.1238,Unimproved
COK,Cook Islands,total,Drinking water,2017,0.1204,20.92546,Unimproved
COL,Colombia,total,Drinking water,2017,0.83501,409704.5127,Unimproved
COM,Comoros,total,Drinking water,2017,8.36842,68111.59816,Unimproved
CPV,Cabo Verde,total,Drinking water,2017,3.64956,19940.76227,Unimproved
CRI,Costa Rica,total,Drinking water,2017,0,0.12207,Unimproved
CUB,Cuba,total,Drinking water,2017,2.19803,252435.8673,Unimproved
CUW,Curaçao,total,Drinking water,2017,0.50225,806.30416,Unimproved
CYP,Cyprus,total,Drinking water,2017,0.38671,4561.4871,Unimproved
CZE,Czechia,total,Drinking water,2017,0.11974,12714.48377,Unimproved
DEU,Germany,total,Drinking water,2017,0,0,Unimproved
DJI,Djibouti,total,Drinking water,2017,7.2816,69683.8195,Unimproved
DNK,Denmark,total,Drinking water,2017,0,0.06104,Unimproved
DOM,Dominican Republic,total,Drinking water,2017,1.67044,179856.1485,Unimproved
DZA,Algeria,total,Drinking water,2017,1.11394,460259.8827,Unimproved
ECU,Ecuador,total,Drinking water,2017,2.81182,467460.6122,Unimproved
EGY,Egypt,total,Drinking water,2017,0.64053,624858.0207,Unimproved
ESP,Spain,total,Drinking water,2017,0.07372,34173.18885,Unimproved
EST,Estonia,total,Drinking water,2017,0.28717,3760.91166,Unimproved
ETH,Ethiopia,total,Drinking water,2017,22.49879,23614157.92,Unimproved
FIN,Finland,total,Drinking water,2017,0,0,Unimproved
FJI,Fiji,total,Drinking water,2017,4.19168,37955.75014,Unimproved
FLK,Falkland Islands (Malvinas),total,Drinking water,2017,4.97526,144.77993,Unimproved
FRA,France,total,Drinking water,2017,0,0,Unimproved
FRO,Faroe Islands,total,Drinking water,2017,0,0,Unimproved
FSM,Micronesia (Federated States of),total,Drinking water,2017,21.43352,22621.79539,Unimproved
GAB,Gabon,total,Drinking water,2017,2.91997,59133.2923,Unimproved
GBR,United Kingdom of Great Britain and Northern Ireland,total,Drinking water,2017,0,0,Unimproved
GEO,Georgia,total,Drinking water,2017,1.57948,61790.19656,Unimproved
GHA,Ghana,total,Drinking water,2017,3.98152,1148018.028,Unimproved
GIB,Gibraltar,total,Drinking water,2017,0,0,Unimproved
GIN,Guinea,total,Drinking water,2017,8.80363,1119573.683,Unimproved
GLP,Guadeloupe,total,Drinking water,2017,0.3146,1414.32889,Unimproved
GMB,Gambia,total,Drinking water,2017,12.91975,271388.2359,Unimproved
GNB,Guinea-Bissau,total,Drinking water,2017,25.99268,483797.391,Unimproved
GNQ,Equatorial Guinea,total,Drinking water,2017,26.03771,330077.1257,Unimproved
GRC,Greece,total,Drinking water,2017,0,0,Unimproved
GRD,Grenada,total,Drinking water,2017,0,0,Unimproved
GRL,Greenland,total,Drinking water,2017,0,0.00143,Unimproved
GTM,Guatemala,total,Drinking water,2017,3.13656,530502.3372,Unimproved
GUF,French Guiana,total,Drinking water,2017,5.88805,16647.34983,Unimproved
GUM,Guam,total,Drinking water,2017,0.3048,500.56999,Unimproved
GUY,Guyana,total,Drinking water,2017,1.14694,8921.60495,Unimproved
HKG,"China, Hong Kong Special Administrative Region",total,Drinking water,2017,0,0,Unimproved
HND,Honduras,total,Drinking water,2017,4.73913,439083.3412,Unimproved
HRV,Croatia,total,Drinking water,2017,0.41333,17315.99707,Unimproved
HTI,Haiti,total,Drinking water,2017,24.9919,2744417.239,Unimproved
HUN,Hungary,total,Drinking water,2017,0,0.24414,Unimproved
IDN,Indonesia,total,Drinking water,2017,7.74064,20434625.3,Unimproved
IMN,Isle of Man,total,Drinking water,2017,0.925,779.65475,Unimproved
IND,India,total,Drinking water,2017,5.8073,77770144.53,Unimproved
IRL,Ireland,total,Drinking water,2017,2.60546,124062.8489,Unimproved
IRN,Iran (Islamic Republic of),total,Drinking water,2017,2.73657,2221075.61,Unimproved
IRQ,Iraq,total,Drinking water,2017,0.7407,283500.0245,Unimproved
ISL,Iceland,total,Drinking water,2017,0,0.00191,Unimproved
ISR,Israel,total,Drinking water,2017,0,0,Unimproved
ITA,Italy,total,Drinking water,2017,0.55727,330792.609,Unimproved
JAM,Jamaica,total,Drinking water,2017,2.30368,66583.37666,Unimproved
JOR,Jordan,total,Drinking water,2017,0.89823,87149.66044,Unimproved
JPN,Japan,total,Drinking water,2017,0.98979,1261830.522,Unimproved
KAZ,Kazakhstan,total,Drinking water,2017,2.56611,467147.6874,Unimproved
KEN,Kenya,total,Drinking water,2017,11.91792,5923189.476,Unimproved
KGZ,Kyrgyzstan,total,Drinking water,2017,1.8728,113212.6854,Unimproved
KHM,Cambodia,total,Drinking water,2017,10.18917,1630814.737,Unimproved
KIR,Kiribati,total,Drinking water,2017,27.49714,32006.11836,Unimproved
KOR,Republic of Korea,total,Drinking water,2017,0.21235,108258.1788,Unimproved
KWT,Kuwait,total,Drinking water,2017,0,0,Unimproved
LAO,Lao People's Democratic Republic,total,Drinking water,2017,14.22818,975791.1734,Unimproved
LBN,Lebanon,total,Drinking water,2017,0,0,Unimproved
LBR,Liberia,total,Drinking water,2017,5.73449,271350.8148,Unimproved
LBY,Libya,total,Drinking water,2017,1.47105,93773.95642,Unimproved
LCA,Saint Lucia,total,Drinking water,2017,0,0,Unimproved
LIE,Liechtenstein,total,Drinking water,2017,0,0,Unimproved
LKA,Sri Lanka,total,Drinking water,2017,5.73288,1196847.635,Unimproved
LSO,Lesotho,total,Drinking water,2017,14.45248,322772.7951,Unimproved
LTU,Lithuania,total,Drinking water,2017,2.45793,71041.53186,Unimproved
LUX,Luxembourg,total,Drinking water,2017,0.1104,644.1157,Unimproved
LVA,Latvia,total,Drinking water,2017,0.6942,13534.69657,Unimproved
MAC,"China, Macao Special Administrative Region",total,Drinking water,2017,0,0,Unimproved
MAR,Morocco,total,Drinking water,2017,6.10299,2181184.313,Unimproved
MCO,Monaco,total,Drinking water,2017,0,0,Unimproved
MDA,Republic of Moldova,total,Drinking water,2017,9.45058,382862.9746,Unimproved
MDG,Madagascar,total,Drinking water,2017,31.84358,8142689.259,Unimproved
MDV,Maldives,total,Drinking water,2017,0.66815,2915.34463,Unimproved
MEX,Mexico,total,Drinking water,2017,0.68178,880610.7891,Unimproved
MHL,Marshall Islands,total,Drinking water,2017,0.23943,127.20283,Unimproved
MKD,North Macedonia,total,Drinking water,2017,0.60158,12531.92853,Unimproved
MLI,Mali,total,Drinking water,2017,15.29399,2835808.04,Unimproved
MLT,Malta,total,Drinking water,2017,0,0,Unimproved
MMR,Myanmar,total,Drinking water,2017,9.39091,5011986.814,Unimproved
MNE,Montenegro,total,Drinking water,2017,0.12456,783.4275,Unimproved
MNG,Mongolia,total,Drinking water,2017,7.82735,240741.536,Unimproved
MNP,Northern Mariana Islands,total,Drinking water,2017,0,0,Unimproved
MOZ,Mozambique,total,Drinking water,2017,16.15436,4792810.716,Unimproved
MRT,Mauritania,total,Drinking water,2017,15.57716,688539.1263,Unimproved
MTQ,Martinique,total,Drinking water,2017,0,0,Unimproved
MUS,Mauritius,total,Drinking water,2017,0.13367,1691.09283,Unimproved
MWI,Malawi,total,Drinking water,2017,8.86908,1651609.663,Unimproved
MYS,Malaysia,total,Drinking water,2017,2.9467,931871.908,Unimproved
MYT,Mayotte,total,Drinking water,2017,0.11065,279.99585,Unimproved
NAM,Namibia,total,Drinking water,2017,3.99086,101120.1152,Unimproved
NCL,New Caledonia,total,Drinking water,2017,0.6714,1854.78273,Unimproved
NER,Niger,total,Drinking water,2017,31.07298,6673653.085,Unimproved
NGA,Nigeria,total,Drinking water,2017,14.59751,27864652.3,Unimproved
NIC,Nicaragua,total,Drinking water,2017,13.64097,848138.6389,Unimproved
NIU,Niue,total,Drinking water,2017,1.80126,29.14435,Unimproved
NLD,Netherlands,total,Drinking water,2017,0,0.12207,Unimproved
NOR,Norway,total,Drinking water,2017,0,0,Unimproved
NPL,Nepal,total,Drinking water,2017,6.56741,1924578.792,Unimproved
NRU,Nauru,total,Drinking water,2017,0.51507,58.5063,Unimproved
NZL,New Zealand,total,Drinking water,2017,0,0,Unimproved
OMN,Oman,total,Drinking water,2017,0,0.06104,Unimproved
PAK,Pakistan,total,Drinking water,2017,5.85698,11539181.01,Unimproved
PAN,Panama,total,Drinking water,2017,1.09792,44999.36441,Unimproved
PER,Peru,total,Drinking water,2017,5.22173,1679595.628,Unimproved
PHL,Philippines,total,Drinking water,2017,4.57369,4798624.538,Unimproved
PLW,Palau,total,Drinking water,2017,0,0.00048,Unimproved
PNG,Papua New Guinea,total,Drinking water,2017,5.50513,454236.8973,Unimproved
POL,Poland,total,Drinking water,2017,0.27532,105090.6345,Unimproved
PRI,Puerto Rico,total,Drinking water,2017,2.87521,105322.6846,Unimproved
PRK,Democratic People's Republic of Korea,total,Drinking water,2017,4.53603,1156277.718,Unimproved
PRT,Portugal,total,Drinking water,2017,0.09234,9538.24423,Unimproved
PRY,Paraguay,total,Drinking water,2017,0,0.24414,Unimproved
PSE,West Bank and Gaza Strip,total,Drinking water,2017,2.66966,131366.6102,Unimproved
PYF,French Polynesia,total,Drinking water,2017,0,0,Unimproved
QAT,Qatar,total,Drinking water,2017,0.4319,11398.70121,Unimproved
REU,Réunion,total,Drinking water,2017,0,0,Unimproved
ROU,Romania,total,Drinking water,2017,0,0,Unimproved
RUS,Russian Federation,total,Drinking water,2017,2.27781,3279812.989,Unimproved
RWA,Rwanda,total,Drinking water,2017,14.08421,1719457.262,Unimproved
SAU,Saudi Arabia,total,Drinking water,2017,0,0,Unimproved
SDN,Sudan,total,Drinking water,2017,3.7,1499731.632,Unimproved
SEN,Senegal,total,Drinking water,2017,16.44726,2606983.603,Unimproved
SGP,Singapore,total,Drinking water,2017,0,0,Unimproved
SHN,Saint Helena,total,Drinking water,2017,0.95,38.4655,Unimproved
SLB,Solomon Islands,total,Drinking water,2017,14.87663,90947.24028,Unimproved
SLE,Sierra Leone,total,Drinking water,2017,16.48939,1246138.234,Unimproved
SLV,El Salvador,total,Drinking water,2017,0.01126,717.85243,Unimproved
SMR,San Marino,total,Drinking water,2017,0,0,Unimproved
SOM,Somalia,total,Drinking water,2017,13.51674,1992707.933,Unimproved
SPM,Saint Pierre and Miquelon,total,Drinking water,2017,8.6,543.52,Unimproved
SRB,Serbia,total,Drinking water,2017,0.76387,67148.99387,Unimproved
SSD,South Sudan,total,Drinking water,2017,16.58439,2085605.909,Unimproved
STP,Sao Tome and Principe,total,Drinking water,2017,0.66928,1367.51011,Unimproved
SUR,Suriname,total,Drinking water,2017,3.36833,18977.24297,Unimproved
SVK,Slovakia,total,Drinking water,2017,0,0,Unimproved
SVN,Slovenia,total,Drinking water,2017,0.46497,9671.35848,Unimproved
SWE,Sweden,total,Drinking water,2017,0,0,Unimproved
SWZ,Eswatini,total,Drinking water,2017,8.64937,118258.9001,Unimproved
SXM,Sint Maarten (Dutch part),total,Drinking water,2017,4.92588,1976.26324,Unimproved
SYC,Seychelles,total,Drinking water,2017,0,0,Unimproved
SYR,Syrian Arab Republic,total,Drinking water,2017,0.57725,105462.0871,Unimproved
TCA,Turks and Caicos Islands,total,Drinking water,2017,5.68182,2013.97727,Unimproved
TCD,Chad,total,Drinking water,2017,38.72852,5770546.971,Unimproved
TGO,Togo,total,Drinking water,2017,15.72135,1225902.997,Unimproved
THA,Thailand,total,Drinking water,2017,0,0,Unimproved
TJK,Tajikistan,total,Drinking water,2017,2.30631,205754.128,Unimproved
TKL,Tokelau,total,Drinking water,2017,0.37575,4.88475,Unimproved
TKM,Turkmenistan,total,Drinking water,2017,0,0,Unimproved
TLS,Timor-Leste,total,Drinking water,2017,14.919,193396.6572,Unimproved
TON,Tonga,total,Drinking water,2017,0.09317,100.64467,Unimproved
TTO,Trinidad and Tobago,total,Drinking water,2017,0.69806,9557.32357,Unimproved
TUN,Tunisia,total,Drinking water,2017,1.78148,205442.2217,Unimproved
TUR,Turkey,total,Drinking water,2017,0.99739,805340.4155,Unimproved
TUV,Tuvalu,total,Drinking water,2017,0.72776,81.4509,Unimproved
TZA,United Republic of Tanzania,total,Drinking water,2017,17.6104,10092524.89,Unimproved
UGA,Uganda,total,Drinking water,2017,12.46246,5341780.357,Unimproved
UKR,Ukraine,total,Drinking water,2017,0.2359,104322.8667,Unimproved
URY,Uruguay,total,Drinking water,2017,0,0,Unimproved
USA,United States of America,total,Drinking water,2017,0.73081,2371175.431,Unimproved
UZB,Uzbekistan,total,Drinking water,2017,0.22444,71619.97914,Unimproved
VCT,Saint Vincent and the Grenadines,total,Drinking water,2017,4.85478,5335.25769,Unimproved
VEN,Venezuela (Bolivarian Republic of),total,Drinking water,2017,2.41704,772897.4089,Unimproved
VGB,British Virgin Islands,total,Drinking water,2017,0.13562,42.3069,Unimproved
VIR,United States Virgin Islands,total,Drinking water,2017,1.28173,1344.55034,Unimproved
VNM,Viet Nam,total,Drinking water,2017,5.28119,5045695.373,Unimproved
VUT,Vanuatu,total,Drinking water,2017,0,0,Unimproved
WLF,Wallis and Futuna Islands,total,Drinking water,2017,0.44072,51.88639,Unimproved
WSM,Samoa,total,Drinking water,2017,1.65694,3254.88785,Unimproved
YEM,Yemen,total,Drinking water,2017,3.75959,1062098.774,Unimproved
ZAF,South Africa,total,Drinking water,2017,1.83447,1040460,Unimproved
ZMB,Zambia,total,Drinking water,2017,23.893,4084300.341,Unimproved
ZWE,Zimbabwe,total,Drinking water,2017,15.65012,2586949.9,Unimproved